Code,Age,Gender,Weight,Height,Experience,Grade
,years,F/M,kg,cm,years,
B0367,48,M,80,173,34,4 dan
B0368,24,M,68,170,9,1 dan
B0369,50,M,88,182,30,3 dan
B0370,20,M,71,178,10,2 kyu
B0371,22,M,78,172,7,1 kyu
B0372,25,M,74,172,19,1 dan
B0373,13,F,62,168,7,4 kyu
B0374,11,M,42,150,5,7 kyu
B0375,12,F,45,152,8,8 kyu
B0376,10,F,35,143,6,6 kyu
B0377,11,M,44,154,7,9 kyu
B0378,11,M,49,156,7,8 kyu
B0379,12,M,35,145,3,7 kyu
B0380,13,M,30,144,5,5 kyu
B0381,13,M,50,161,6,5 kyu
B0382,24,M,86,182,12,5 kyu
B0383,10,M,36,142,5,8 kyu
B0384,11,M,44,151,5,6 kyu
B0385,11,F,42,150,3,8 kyu
B0386,11,F,45,152,2,9 kyu
B0387,11,F,52,158,5,7 kyu
B0388,14,F,54,157,4,6 kyu
B0389,14,F,52,153,8,4 kyu
B0391,43,M,80,180,4,3 kyu
B0392,26,M,118,192,10,2 kyu
B0393,13,M,40,160,5,6 kyu
B0394,12,M,30,142,5,7 kyu
B0395,14,M,45,158,4,7 kyu
B0396,17,F,47,164,8,4 kyu
B0398,31,F,62,176,18,1 dan
B0399,20,F,70,166,13,2 kyu
B0400,12,M,35,150,3,8 kyu
B0401,12,M,39,152,3,8 kyu
B0402,12,M,34,150,3,7 kyu
B0403,12,M,32,143,4,8 kyu
B0404,29,F,67,163,29,2 dan
B0405,28,F,62,162,28,2 kyu
